Titre,Strat,CT,T
Aaaaaaaahhh,"A chaque fois que vous tirez, vous devez gueuler ""Aaaahhh""",X,X
Les siamois,Vous devez rester collés,X,X
Le tableau des scores,"Vous devez garder ""Tab"" ouvert tout le long du round",X,X
Combattre au front,Vous devez utiliser votre front comme tapis de souris,X,X
Rupture de stock,"Vous devez acheter soit une AK-47 soit une M4 uniquement, et utiliser vos munitions au spawn jusqu'à ce qu'il ne vous reste plus qu'un chargeur. Dommage pour les utilisateurs de M4A1-S !",X,X
Chasseur de tête,"Votre équipe ne peut viser que des ""body shots"". Le premier qui touche une tête ne peut rien acheter au round suivant",X,X
Rage against the machine,"Achetez des M249 ou Negev. Une fois que vous commencez à tirer, vous ne pouvez pas vous arrêter, et vous devez rester en mouvement",X,X
Smoke party,"Rendez-vous tous sur le même site, et cachez vous dans la même smoke. Essayez de ninja defuse",X,
Criquets,"Utilisez des Glock/Famas, et restez au spawn. Quand les ennemis approchent, tout le monde lance une smoke, et spam le changement de mode de feu en courant partout. Renouvellez les smokes",X,X
Retour en zone,Vous ne pouvez pas retourner là où vous êtes déjà allés,X,X
Cirque du soleil,"Faites une pyramide de 5 joueurs (3 en bas 2 en haut) et restez comme ceci jusqu'à ce que vous soyez découverts ou que le temps se soit écoulé, puis chargez. Gardez ""CHARGEZ !!!"" tapé dans le chat, et tapez entrée quand vous chargez",X,X
L'escouade P90,"5 hommes, au P90",X,X
Le serpent,Suivez-vous en ligne en slalomant tout le long du round en vous déplaçant sur la map,X,X
Le serpent à sonnettes,"Suivez-vous en ligne en slalomant tout le long du round en vous déplaçant sur la map, Glocks en main et changeant de mode de tir",,X
Allahu Akbar,Essayez de planter en utilisant uniquement des grenades. Seulement après avoir planté vous pouvez utiliser l'arme de votre choix,,X
404 : Crosshair not found,"Tapez ""crosshair 0"" dans la console",X,X
Quick push,Vous devez attendre que le timer soit à 0:15 avant d'entrer sur un site bombe,,X
Quick push,"Si la bombe est plantée, vous devez attendre qu'il ne reste plus que 15 secondes avant d'aller tenter de defuse",X,
La nova strat,"Un joueur achète un XM, les autres des novas. Tous rush mid, et espèrent que tout se passera bien",X,X
La ruche,"Tous achètent une arme à forte cadence de tir et se cachent dans une partie de la carte où les ennemis vont rarement. Spammez ""Bzzzz"" dans le chat. Une fois la bombe plantée, rushez les ennemis comme un essaim",X,
Formation millitaire,"La team est en formation, trois a l'avant deux a l'arriere. Vous pouvez aller où vous voulez, mais vous ne pouvez pas briser la formation",,X
Rambo à tout prix,"Achetez des M249 ou Negev et HE, vous ne pouvez pas utiliser le couteau comme Rambo. À chaque fois que vous tirez vous devez crier ""C'était pas ma guerrrrrrrrrrrrre !""",X,X
Saute mouton,Vous devez avancer à 5 en saute mouton,X,X
CS:GhOst,"Achetez eulement un USP-S, une smoke et deux flash. Vous vous cachez jusqu'a que la bombe soit plantée",X,
C'est les soldes,Achetez le plus d'armes possible et faites en un tas. Quand le round commence sautez dedans et joue avec ce qu'il a récupéré,X,X
L'enculé,"Achetez des MAG-7/Sawed-Off, et proposez un round au couteau à l'équipe d'en face. S'ils acceptent, tuez-les au pompe dès qu'ils seront à distance. Sans rancune !",X,X
Cache cache,"Vous devez vous cacher, le dernier de votre team restant en vie a gagné",X,
Vision d'aigle,"Achetez un scout et scopez au max, ceci jusqu'à la fin du round",X,X
Le bombardement,Achetez des HE et molo et personne ne sort du spawn. Bombardez le premier ennemi que vous voyez ,,X
Luxure,Lorsque vous effectuez un kill vous devez inspecter votre arme et regarder l'animation jusqu'a la fin,X,X
360 player,Achetez une AWP ou un scout. Vous ne pouvez tirer qu'apres avoir fait un saut 360,X,X
La loterie,"Choisissez un joueur adverse. Vous devez le tuer, en sachant que si vous vous trompez de cible, vous devez vous suicider. Prévoyez grenades et molos pour le suicide",X,X
Le borgne,Jouez avec un seul oeil ouvert,X,X
Soldat canadien,"Vous devez écrire dans le chat global ""I'm Sorry"" à chaque kill",X,X
FEUUUUUX,"Achetez une AWP ou un Scout, vous devez tirer seulement quand le meilleur joueur vous le dit, meme si vous ne voyez personne",X,X
Graffiti,Restez au spawn et dessinez sur les murs avec votre arme,X,
Videur,"Tout au long du round, le meilleur joueur dicte le rythme en annonçant ""Feu vert"" ou ""Feu rouge"" pour autoriser les joueurs à se déplacer ou non",,X
Snake,Vous devez vous coller à un mur et le suivre tout le long du round,X,X
Han solo ,Vous ne pouvez tirer sur quelqu'un seulement après qu'il vous ait tiré dessus en premier,X,X
Freeze !,Quand la bombe est plantée vous ne pouvez plus bouger,,X
Le dépensier,Le joueur avec le plus d'argent achète pour le reste des joueurs,X,X
Le dictateur,Vous devez faire uniquement ce que vous dit le dictateur (meilleur joueur),X,X
Le partage,Quand vous tuez quelqu'un vous devez changer d'arme avec un autre joueur vivant avant de pouvoir tirer de nouveau,X,X
La tête ou la mort,"Si vous effectuez un kill sans faire un tir a la tête, chaque membre de votre team doit vous tirer dessus avec une balle",X,X
L'arme du meurtre,"Quand l'un de vous fait un kill, chacun droppe son arme, et seulement l'arme du meurtre peut être utilisée",,X
LEEROY JENKINS,"Achetez une grenade, une molotov, des flash et un P90. Dirigez-vous tous dans la même direction. Le dernier écrit dans le chat global ""LEEROY JENKINS"". Les autres rush, lancent le plus de stuff possible et tirent partout sans s'arrêter en hurlant ""LEEEEEROY JENKINSSSS""",X,X
PULL,"Achetez un fusil à pompe et vous devez écrire ""PULL"" dans le chat avant chaque tir",X,X
Pokémonde,Vous ne pouvez parler qu'en prononçant votre pseudo,X,X
Économe,Vous devez et ne pouvez recharger qu'après avoir tiré le nombre exact de balles correspondant au nombre de rounds remportés par votre équipe,X,X
C'est un cadeau,"Achetez l'arme que vous détestez le plus, puis donnez la à un de vos coéquipiers",X,X
Le bûcheron,Vous devez jouer avec le majeur sur le clic gauche et l'annulaire sur le clic droit (pour plus de challenge acheter un scout),X,X
Le tank,Prévoyez une AWP et 4 PMs. Formez un tank : 4 joueurs avec des PMs encadrent un AWPer,X,X
