Titre,Strat,CT,T
L'escouade P90,"5 hommes, au P90",X,X
Le serpent,Suivez vous en ligne en slalomant tout le long du round en vous déplaçant sur la map,X,X
Le serpent à sonnettes,"Suivez vous en ligne en slalomant tout le long du round en vous déplaçant sur la map, Glocks en main et changeant de mode de tir",,X
Allahu Akbar,Essayez de planter en utilisant uniquement des grenades. Seulement après avoir planté vous pouvez utlisez l'arme de votre choix,,X
404 : Crosshair not found,"Tapez ""crosshair 0"" dans la console",X,X
Quick push,Vous devez attendre que le timer soit à 0:15 avant d'entrer sur un site bombe,,X
Quick push,"Si la bombe est plantée, vous devez attendre qu'il ne reste plus que 15 secondes avant d'aller tenter de defuse",X,
La nova strat,"Un joueur achète un XM, les autres des novas. Tous rush mid, et espèrent que tout se passera bien",X,X
La ruche,"Tous achètent une arme à forte cadence de tir et se cachent dans une partie de la carte où les ennemis vont rarement. Spam ""Bzzzz"" dans le chat. Une fois la bombe plantée, rush les ennemis comme un essaim",X,
Formation millitaire,"La team est en formation, trois a l'avant deux a l'arriere. Vous pouvez aller où vous voulez, mais vous ne pouvez pas briser la formation.",,X
Rambo à tout prix,"M249 ou Negev et HE,  vous ne pouvez pas utiliser le couteau comme Rambo. À chaque fois que vous tirez vous devez crier ""C'était pas ma guerrrrrrrrrrrrre !""",X,X
Saute mouton,Vous devez avancer à 5 en saute mouton.,X,X
CS:GhOst,"Seulement USP-S, smoke et deux flash. Vous vous cachez jusqu'a que la bombe soit plantée.",X,
C'est les soldes,Tout le monde achète le plus d'armes possible et en fait un tas. Quand le round commence tout le monde saute dedans et joue avec ce qu'il a récupéré.,X,X
L'enculé,"Demander à l'équipe d'en face de jouer au couteau, si un joueur accepte tuez le au pistolet ou MAG-7 et Sawed Off.",X,X
Cache cache,"Vous devez vous cacher, le dernier de votre team en vie a gagné.",X,
Vision d'aigle,"Tout le monde achète un scout et double Zoom, jusqu'a la fin du round.",X,X
Le bombardement,Tout le monde achète HE et molo et personnes ne sort du spawn. Bombarder le premier ennemi que vous voyez ,,X
Luxure,Lorsque vous effectuez un kill vous devez inspecter votre arme et regarder l'animation jusqu'a la fin.,X,X
360 player,AWP ou scout. Vous ne pouvez tirer qu'apres avoir fait un saut 360,X,X
La loterie,"(He, molo) Chaque joueur choisit un joueur adverse, si vous tuez un autre joueur que celui choisi vous devez vous suicider",X,X
Le borgne,Jouez avec un seul oeil ouvert,X,X
Soldat canadien,"Ecrire dans le chat global ""I'm Sorry"" a chaque kill",X,X
FEUUUUUX,"AWP et Scout, vous devez tirer seulement quand le meilleur joueur vous le dit, meme si vous ne voyez personne.",X,X
Graffiti,Tout le monde reste au spawn et dessine sur les murs avec son arme,X,
Videur,Le meilleur joueur définit feu vert ou rouge pour autoriser les joueurs à se déplacer ou non,,X
Snake,Vous vous collez à un mur et devez le suivre tout le long du round,X,X
Han solo ,Vous pouvez tirer sur quelqu'un seulement apres qu'il vous ait tiré dessus en premier.,X,X
Freeze !,Quand la bombe est plantée plus personne ne bouge,,X
Le dépensier,Le joueur avec le plus d'argent achète pour le reste des joueurs,X,X
Le dictateur,Vous devez faire uniquement ce que vous dit le dictateur (meilleur joueur),X,X
Le partage,Quand vous tuez quelqu'un vous devez changer d'arme avec un autre joueur vivant avant de pouvoir tirer de nouveau,X,X
La tête ou la mort,"Si vous effectuez un kill sans faire un tir a la tête, chaque membre de votre team doit vous tirer dessus avec une balle",X,X
L'arme du meurtre,Quand un membre de votre équipe fait un kill tout le monde doit lancer son arme et doit utiliser seulement l'arme du meurtre,,X
LEEROY JENKINS,"Molo,HE,flash P90. Tout le monde part dans la même direction le dernier ecrit dans le chat global LEEROY JENKINS les autres rush, lancent le plus de stuff possible et tirent partout sans s'arreter en hurlant LEEEEEROY JENKINSSSS.",X,X
PULL,Tout le monde achete un fusil à pompe et doit écrire PULL dans le chat avant chaque tir,X,X
Pokemonde,Tout le monde parle avec son pseudo comme un pokemon et ne dit rien d'autre,X,X
Économe,Vous devez tirez autant de balles que votre team a gagné de round puis recharger.,X,X
C'est un cadeau,Tout le monde achète l'arme qu'il deteste le plus et le donne a un autre joueur,X,X
Le bûcheron,Vous devez jouer avec le majeur sur le click gauche et l'annulaire sur le click droit (pour plus de challenge acheter un scout),X,X
Le tank,Les joueurs forment un tank une AWP au centre pour le canon deux avant et deux arriere avec des PM,X,X
